topic	sentence_hash	sentence	stance	aspect	inner	cross
abortion	56fee84d80d547cd3fbf307e6b87d9bd		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111100000000000000000000001111111110000000000000	Test	
abortion	d91801012292ac3c6ff13e10c101ad6c		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp	111111111111111100000000000000000000001111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	2ef4c72c1384b67e568e4c9cd5140db2		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	0000000000000000000000000000000000000000000000000000000000000000001111111100000000001111111111111110	Train	Train
abortion	09b22d5e8ea84dd3485409f2985fbf4d		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	00000000000000000000000000000000000000000000000000000000000111111111111111111110000000000000000000001111111111111000000000000000000011111111111111111111100000111111110	Train	Train
abortion	3704e267fd83626149746f848656bb09		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppn	000000000000000000000000000000000000000000000000000000000000000000000000000	Dev	Train
abortion	f8e42447401d9b9c4c1bd1e8c97c0c87		nnnnnnnnnnnnnnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	000000000000000000000000000000000000000000000000000000000000000000000000000011111111111110	Train	Train
abortion	dbc6958e0fd7aee170241ccd0bfe242c		ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	00001111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111110000000000000011110	Test	
abortion	e0e79956a592a5cd87578f317f981594		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	0000000000000000000000000000001111111111111111111000000000000000000000000000111111111111111110000000000000111110000000000000011111111111110	Train	Train
abortion	5b4aa92e8ed7d890ebce0d78e44ad913		nnnnnnnnnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111100000000000000000000000000000000011111111111111111000000000000000000000000000000000	Train	Train
abortion	53479826ce5a8a8665f5aa03b77fdd76		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppnnnnnnnnnnnnnnnnnnn	000111111111110000000000000000000000000000000011111100000000000000000000000000000000000000000000000000000000000000000001111110000000000000000000	Train	Train
abortion	abfd4844f0a3eb2a7addeda546dcb215		ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccnn	1111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111100000000000000000000000	Train	Train
abortion	426a29ac1118b81c795b7b37acef7dc9		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111001111111111111111111111000000111111111110	Dev	Train
abortion	2aff6739d33d5668d3a4165f02214a48		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppnnnnnnnnnnnnnnnnnnnnnnnnn	0000000000000000000000000000000000000000000000000000000000000000000000011111111111111110000000000000000000000000000000000000000000000001111111111110000000000000000000000000	Train	Train
abortion	982e932af5b5fea00d1ae014e3f346ec		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111110000000000001111111110000001111111111111111111000000000000000000000	Train	Train
abortion	d583dbbd16c1cfa32ace9ab536062039		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	26ade697c6997e1e290fd6e9ff5c0e68		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	000000000000000000000011111111111111110000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111110	Train	Train
abortion	5668c39cf06d1ab452dd81ceca3f5b6f		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111110	Train	Train
abortion	2a55e5f386a720d140bffc5f937efcf0		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccn	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	c44abf772c39f52f29ef1c2e8a03a80a		nnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	000000000000000000000000000000000000000111111111111000000000000000001111110000001111111110	Train	Train
abortion	e1de515edbb3e2b91d14f52b2926ab2d		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	00000000000000000000000000001111111111111111111100000000000000011111111111111100001111111111111110000000000000000000011111111111111110	Train	Train
abortion	b1ea99a6398dfa4f0495155f8ce58ff5		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccn	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000011111111111110	Train	Train
abortion	5de7a4a177f7eb858163f90c7961146d		ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	0000000000000000001111111111111111100000000000000000000000000000000000000000000111111111110	Train	Train
abortion	8b4874f5ec1c6e2cabe4912b0c8baabe		cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	000000000000000000000000000000000000000000000000000000000011111111111111100000000000000000000000000000000000000000000000000000000001111111111110	Dev	Train
abortion	7ce15e780fa8c22fb23374f1c0cfb337		cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	00000000000000000111100000000000000000011111000000000000000000000000000000000000000000000000000000	Train	Train
abortion	c439ba7b59d45054964b8d9a6256978c		nnnnnnnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	000000000000000000000000000000000000000001111111111111000000000000000000000000000111111111100000000000000000000000000000	Train	Train
abortion	45442337357039ea3f669ab86ff369e5		ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	0000000000000000000000000000000000000000000000000001111100000000011111100000111111110	Train	Train
abortion	59a04eba8400a365a60213e1684de50c		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	000000000000000000000000000000000000011111110000001111111111111111111111100000000000000000000111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	7759eb8482e85290a6d901f6579e29b6		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000111111111111111110	Train	Train
abortion	f89508feb81eae11f0159c1b6c2dfde3		nccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnn	00000000001111111111111000000000000000000011111110000000000000000000000000000000000000000000000000000000011111111111111111100	Train	Train
abortion	a58d767d9b984ab958e95e3ddcf611df		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111000000000000000000000000000000000000000000000000111111111111110	Train	Train
abortion	55ecbd901b0caa621a474cefcbff0e71		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000000000000000111110000000000000000000000000000000000000000000000000	Train	Train
abortion	e2dc37ef918d022f89525f180c6098a5		ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111100111110011111111110011111001111111100000000000111111111111111110	Test	
abortion	50a9550230f21246e60ecbc9369690bc		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111100000000000000000000000000000000	Train	Train
abortion	a9ffbc27688f4d7013bace1b9b91f0ea		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppnnnnnnnnnnnnnnnnnnnnnnnn	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111110000000000000000000011111111100000000000011111000000000000000000000000	Train	Train
abortion	8eb0c73b65c0c1c84b060bd3111132ca		nnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnn	000000000000000111111100000111111111111111111000000000000000000000000000000000011111111111100000000000000000000000000000001111111111110000000000000000000000	Train	Train
abortion	e6441205ab420625e10768fa683abe1f		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	0000000000000000000000000000000000000000000000000000000000000000000000000000000001111111100000000000000000000000000000000000000000000000000000000	Train	Train
abortion	81bfccb877b26099661fe6adf030636f		cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	0000000000000000000000000001111111111100000111111000000000000000000000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	7c641f8207fa808f7671a1a6af93a448		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppnnnnnnnnnnnnnnnnnnnnnnnnnnn	00000000000000000000000000000000000000000000000000000000000000000000000000000111111111100000000000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	bdaf0a28ba7162523e5801e1797697bc		nnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	00000000000000000000000011111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	59a6025ab7d11506fbacdab474132f90		nnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccn	00000000000000000000000000000000000000111111111111100000000000000	Train	Train
abortion	0c55702d74389fb0002036f138afe26a		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111100000000000111111111111111111100000111111111111111111000000000000000000000000000000000000000	Train	Train
abortion	4a972864654366edefaad555a78d61d6		nnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	000000000000000000000000000000000000000000000000011111000000000000000000000000000000000000000000000000000000000000000000000000111111111111100000000001111110000001111111111111100000000000000000	Test	
abortion	bc3e5754056a3ec7d5d40590629137bd		nnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnn	00000000000000000000000000000000000000000000000000000000000000000001111111111111000000000000000000000000000000000000111110000000000	Test	
abortion	509b910496e993edc4b2e273a4f615c1		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnpppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppnnnnnnnnnnnnnnnnnnnnn	000000000000000000000000000000000000000000000000000000000000000000000000000001111100000000000000011111111111111111000000000000000000000	Train	Train
abortion	fec195c971145653dcde883050f6d91d		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	000000000000000000000000000000000000000000000000000000000001111111111111111111100000000000000000000000	Train	Train
abortion	15952d17a4488d5dd99749957aaa32f8		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111100000000000000000000000000000000000000000000	Train	Train
abortion	509643938d9cc84bc186dff0641b23d8		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	00000000000000000000000000000000011111100000000001111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	Test	
abortion	102890d9531454fa9476a79c62e1951c		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	00000000111111111110000000011111111100000000011111111110000000000000000000000111111000000000000111111110000011111111111111111111111110	Train	Train
abortion	a077832def3c2c14b589b19f43ab3884		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnn	00000000000000000000000000000000000000000000000000000000000011111111111111111100000000000000000000000000000111111111100000000000000000000000000000000000001111111111111111111111100000000000000000000000000000	Test	
abortion	ffe9eaac3714d27af1f6ce73a8cf734a		cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	0000000000000000000000000000000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000111110	Train	Train
abortion	93e892ee09906b4f87740da753305050		cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	00001111110000000000000000000000000000000000000000000001111110000000000000000000001111111111111111000000000000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	f7316a0271564b221e2103ab9c5b7f31		cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	00000000000111111111111111111110000000000000000011111111111100000111111111111111111110	Test	
abortion	2689fc2625f42c2e12f6f64807abd540		ppppppppppppppppppppppppppppppppppppppppppppppppn	0000000000000000000000111111111111111111100000000	Dev	Train
abortion	bfb1ba12399257160f50774238ccb11f		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	000000000000000000000000000000000000000000000000000000000111111111111000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	Train	Train
abortion	09b5dd90d6030d1556c7dc83541f2a3d		nnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnncccccccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn	000000000000000000000000000000000000000000000000000000000000000000000000000111111000000000000000000000000000000000000000000000000000000000000000000000	Test	
abortion	7a10d2a8c07269dca5e887d88053ec98		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccccccccccccccccccn	00000000000000000000000000000000000000000000000000000000111111111111111111100000000000000000000000000000000000000000000000011111111111111111110000000000000000000000000000000000000000000000000000000000000000000001111111111111111110	Train	Train
abortion	f8272c7ddfb3a4d502da0daa72125f10		pppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppn	0000001111111111100000000000000000000000000000011111000000000000001111111000000000011111111100000000000000	Dev	Train
abortion	f270db31571c63af4b56146845f87b79		nnnnnnnnnnnnnnnnccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccnnnnnnnnnnnnnnnnnnnnnnn	0000000000000000000000000000000000000000000000000000000000000000111111000001111100000000000000000000000	Train	Train
