topic	sentence_hash	segment_count	segment_hash	stance	aspect	segment	inner	cross
abortion	3704e267fd83626149746f848656bb09	0	18dc63d8d39674c39088d4c45003592c	pro	0000000000000000000000000000000		Dev	Train
abortion	f8e42447401d9b9c4c1bd1e8c97c0c87	0	fea67f8d66f6d358fbf891aefdf09fc4	con	00000000000000000000000000000000000000000000000001111111111111		Train	Train
abortion	dbc6958e0fd7aee170241ccd0bfe242c	0	10c8ad9774a0d843f0e33ea4e43d65ee	con	0000111111111111111111111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111000000000000001111		Test	
abortion	e0e79956a592a5cd87578f317f981594	0	53d3bfc54035d1d8fc7639671f57e109	pro	00000000000000000000000000000011111111111111111110000000000		Train	Train
abortion	e0e79956a592a5cd87578f317f981594	1	5e0c8c781d161e3764db16cf7fec945f	con	00000011111111111111111000000000000011111000000000000001111111111111		Train	Train
abortion	5b4aa92e8ed7d890ebce0d78e44ad913	0	14f9518aea1aa7150ce1f302e44bd371	con	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111100000000000000000000000000000000011111111111111111		Train	Train
abortion	53479826ce5a8a8665f5aa03b77fdd76	0	3174978fe1ae37e2b70533a8cc9f96d4	pro	00011111111111000000000000000000000000000000001111110000000000000000000000000000000000000000000000000000000000000000000111111		Train	Train
abortion	abfd4844f0a3eb2a7addeda546dcb215	0	e3fff1a43ba863f4d15153dadd0c4c41	con	111110000000000000000000000000000000000000000000000000000000		Train	Train
abortion	abfd4844f0a3eb2a7addeda546dcb215	1	685dfd99c7dc773d5097a36341b04177	con	0000000000000000000000000000011111000000000000000000000		Train	Train
abortion	426a29ac1118b81c795b7b37acef7dc9	0	322f4057fc3427194eb9036a759a3511	con	0000000000000000111111111111100111111111111111111111100000011111111111		Dev	Train
abortion	2aff6739d33d5668d3a4165f02214a48	0	4dcbdd0b5df1eb2a9ed0ac45ac237617	pro	1111111111111111000000000000000000000000000000000000000000000000111111111111		Train	Train
abortion	982e932af5b5fea00d1ae014e3f346ec	0	f69abef5307bb44d02fd4551dc84264d	con	11111111111111111111000000000000111111111000000111111111111111111100000000000000000000		Train	Train
abortion	d583dbbd16c1cfa32ace9ab536062039	0	83d5c537cb232ba0444a930cc62bc150	con	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		Train	Train
abortion	26ade697c6997e1e290fd6e9ff5c0e68	0	5cd840227e02656f83e22b845d0db554	pro	00000000000000000000001111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111		Train	Train
abortion	5668c39cf06d1ab452dd81ceca3f5b6f	0	404a6a1f71c516a4eab99b7ba688f8d6	pro	0000000000000000000000000000000000000011111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111		Train	Train
abortion	2a55e5f386a720d140bffc5f937efcf0	0	6d0e4e7ce1a939b6178d886e1e43d03c	con	0000000000000000000		Train	Train
abortion	c44abf772c39f52f29ef1c2e8a03a80a	0	6b9adc76b88f81700ed3d3952dae4934	pro	00000000000000000000000000000000011111111111100000000000000000111111000000111111111		Train	Train
abortion	e1de515edbb3e2b91d14f52b2926ab2d	0	69a12dbf2a5754cf5fc8e05a5e80217a	pro	0000000000000000000000000000111111111111111111110000000000000001111111111111110000111111111111111000000000000000000001111111111111111		Train	Train
abortion	b1ea99a6398dfa4f0495155f8ce58ff5	0	db24bb854179b73c1e83a813d503d09e	con	00001111100000001111111111111		Train	Train
abortion	5de7a4a177f7eb858163f90c7961146d	0	03fd5af4bf0660eff4e79cb78c8b22f4	con	000000000000000000111111111111111110000000000000000000000000000000000000000000011111111111		Train	Train
abortion	8b4874f5ec1c6e2cabe4912b0c8baabe	0	3e11f1ca572b49c96130daa240166aa5	con	00000000000000000000000000000000000000000000000000000000001111111111111110000000000000000000000000000000000000000000000000000000000111111111111		Dev	Train
abortion	7ce15e780fa8c22fb23374f1c0cfb337	0	253d5208ba82341672850ca82aa627d7	con	0000000000000000011110000000000000000001111100000000000000000000000000000000000000000000000000000		Train	Train
abortion	c439ba7b59d45054964b8d9a6256978c	0	4ac85e4e27d69b66ba64fe5cbec4c02b	pro	00000000000000000111111111111100000000000000000000000000011111111110000000000000000000000000000		Train	Train
abortion	45442337357039ea3f669ab86ff369e5	0	cd53bda7bbef4e6e59e6202f65fa7dd3	con	000000000000000000000000000000000000000000000000000111110000000001111110000011111111		Train	Train
abortion	59a04eba8400a365a60213e1684de50c	0	0d3c19e8b63d184a833ce18250a181c4	pro	000000000000000000000000000000000000011111110000001111111111111111111111100000000000000000000111111111111100000000000000000000000000000000000000000000000000000000000		Train	Train
abortion	7759eb8482e85290a6d901f6579e29b6	0	2b12ce724f10e0c009c7b15d1d425cbe	con	00000000000000000000000000000000000000011111111111111111111110000000000000000000000000000000000000000000000000000000000000000000011111111111111111		Train	Train
abortion	f89508feb81eae11f0159c1b6c2dfde3	0	d10fee1e6889073d16f64aadad177735	con	00000000011111111111110000000000000000000111111100000000000000000000000000000000000000000000000000000000111111111111111111		Train	Train
abortion	a58d767d9b984ab958e95e3ddcf611df	0	a65e171b00ebb6a4523253548cc69949	pro	00000000000000000000000000000000000000011111111111111111100000000000000000000000000000000000000000000000011111111111111		Train	Train
abortion	55ecbd901b0caa621a474cefcbff0e71	0	2a37b9a7bfd88a4fd821dddea29ccf60	pro	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000011111000000000000000000000000000000000000000000000000		Train	Train
abortion	e2dc37ef918d022f89525f180c6098a5	0	463e45afe8828a0cf53ca5b51f6ca168	con	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110011111001111111111001111100111111110000000000011111111111111111		Test	
abortion	50a9550230f21246e60ecbc9369690bc	0	acd7168d11f81eff07cd88b69ff7cae4	con	000000000000000000000000000000011111111111		Train	Train
abortion	a9ffbc27688f4d7013bace1b9b91f0ea	0	77aa3415e583f02ccc1434bb282aac87	pro	0000000000000000000000000000000000000000000000000000000000000000000011111111111110000000000000000000011111111100000000000011111		Train	Train
abortion	8eb0c73b65c0c1c84b060bd3111132ca	0	864424635bd2650dd970ec15d8c1d3eb	con	00001111111000001111111111111111110000000000000000000000000000000000111111111111000000000000000000000000000000011111111111100000000000000000000		Train	Train
abortion	e6441205ab420625e10768fa683abe1f	0	953609c4e40a0f9f2fb1e6e840c560f3	con	00000000000000000000000000000000000000000000111111110000000000000000000000000000000000000000000000000000000		Train	Train
abortion	81bfccb877b26099661fe6adf030636f	0	b52550b59235ce617e547d5ef093ee78	con	000000000000000000000000000111111111110000011111100000000000000000000000000000000000000000000000000000000000000000000000000		Train	Train
abortion	7c641f8207fa808f7671a1a6af93a448	0	2b58f68d37abf9d08095de85b01a1af2	pro	000000000000111111111100000000000000000000000000000000000000		Train	Train
abortion	bdaf0a28ba7162523e5801e1797697bc	0	46207e82ee465fae6a164d26c42bc64c	con	0000000000000000000011111111000000000000000000000000000000000		Train	Train
abortion	59a6025ab7d11506fbacdab474132f90	0	927eab97acacf9c43534590e059f1b91	con	000000000000011111111111110000000000000		Train	Train
abortion	0c55702d74389fb0002036f138afe26a	0	99f16948f226b330896008559fc1ae5b	con	00000000000000000000000000000000000000000000000000000000000000000111111111110000000000011111111111111111110000011111111111111111100000000000000000000000000000000000000		Train	Train
abortion	4a972864654366edefaad555a78d61d6	0	078bd6943a4b2adab08390d74f14887b	pro	000000000000000000000000000000111110000000000000000000000000000000000000000000000000000		Test	
abortion	4a972864654366edefaad555a78d61d6	1	924d026b5404fc240ea85721558f96b0	con	00000000000000000011111111111110000000000111111000000111111111111110000000000000000		Test	
abortion	bc3e5754056a3ec7d5d40590629137bd	0	8a993e053d8c7273c2b835bb510083a2	con	0000000000000000000000000000000000000000000000000111111111111100000000000000000000000000000000000011111		Test	
abortion	509b910496e993edc4b2e273a4f615c1	0	320efcace501207c133418f269c6bacb	pro	000000000000000000000000000000000000001111100000000000000011111111111111111		Train	Train
abortion	fec195c971145653dcde883050f6d91d	0	57c0f3310a0a5cb638a729f217d314a5	con	000000000000000000000000000111111111111111111110000000000000000000000		Train	Train
abortion	15952d17a4488d5dd99749957aaa32f8	0	c3396cb141a3ef409ba665de66204f09	pro	0000000000000000000011111111111111111110000000000000000000000000000000000000000000		Train	Train
abortion	509643938d9cc84bc186dff0641b23d8	0	c90e69cb98eb972fb441cfeae037f730	con	111111000000000011111000000000000000000000		Test	
abortion	102890d9531454fa9476a79c62e1951c	0	8f838265226f8a42eb61064435014cb1	pro	0000000011111111111000000001111111110000000001111111111000000000000000000000011111100000000000011111111000001111111111111111111111111		Train	Train
abortion	a077832def3c2c14b589b19f43ab3884	0	5074e2eb96366861b1b02ced2a5a41f4	con	0000000000000000000111111111111111111000000000000000000000000000001111111111000000000000000000000000000000000000011111111111111111111111000000000000000000000000000		Test	
abortion	ffe9eaac3714d27af1f6ce73a8cf734a	0	f4fd7510e99bc4bf6e3b742f6536acb5	con	000000000000000000000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000011111		Train	Train
abortion	93e892ee09906b4f87740da753305050	0	e28ae4dd447489b463b39a251e3957c7	con	0000111111000000000000000000000000000000000000000000000111111000000000000000000000111111111111111100000000000000000000000000000000000000000000000000000000000000000		Train	Train
abortion	f7316a0271564b221e2103ab9c5b7f31	0	d55912d620be2d4a83f062874e62fa3b	con	0000000000011111111111111111111000000000000000001111111111110000011111111111111111111		Test	
abortion	2689fc2625f42c2e12f6f64807abd540	0	a6ac4e75b9546c71ae0a5246ad004507	pro	000000000000000000000011111111111111111110000000		Dev	Train
abortion	bfb1ba12399257160f50774238ccb11f	0	29162d5ab3d54cf5bf5d9b2f56858409	con	00000000000000000000011111111111100000000000000000000011111		Train	Train
abortion	09b5dd90d6030d1556c7dc83541f2a3d	0	a0f9ff93506ce8bf02d0e9d191918dfb	con	00000000000000000000000000000000000000000111111		Test	
abortion	7a10d2a8c07269dca5e887d88053ec98	0	891dc13c7c50dcf2235ef9e3463c334b	pro	0000000000000000000000000000000000000000000000000000000011111111111111111110000000000000000000000000000000000000000000000001111111111111111111000000000000000		Train	Train
abortion	7a10d2a8c07269dca5e887d88053ec98	1	edce6eae0935020c714c6edd1e239575	con	0000000000000000000000000000000000000000111111111111111111		Train	Train
abortion	f8272c7ddfb3a4d502da0daa72125f10	0	9eab831aa6f24408ca2c6a36d2b86325	pro	000000111111111110000000000000000000000000000001111100000000000000111111100000000001111111110000000000000		Dev	Train
abortion	f270db31571c63af4b56146845f87b79	0	71de4fd2e32ae2349dccd52d0f8ff39b	con	0000000000000000000000000000000000000000000000001111110000011111		Train	Train
abortion	eff47e6f590ce62a5c6028d8415a5521	0	85edc03c4d730ecbc5edaf0f0ad7e506	con	000011111000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111		Train	Train
abortion	2c88b86c6b5fe14bb5aa8719091b4aa0	0	2fbae6691a8b7445bbf58a0e97ef5e73	pro	00000000000000000000000000000000000000000000000000000111111111000000000000000000001111111111111110000000000000000000001111111111000000000000000000000000000000000000000011111111111111		Train	Train
abortion	67e393f9c65b413f7f5f6cd9262ba071	0	012bb33f2605eb8e550eaa0d4b29c6cd	con	1111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000001111111111111		Train	Train
abortion	af1cefc8ad9150aec14e0ab072fab23e	0	77a52147621d3fb160b70786225bb445	pro	00000000000000000000000000000000000000000000000000000000000011111000000111110000000000000000000000000000000000000000011111111111111110000000000000000000000000000000000000000000000000000000000000000		Train	Train
abortion	04236189b9a8f09cbf18161b19462d7b	0	d130d33069ab2b64801a64dfc102be62	pro	00000000000011111000000111111111111111111100000000000000000000000000111111111111111111100001111111111		Train	Train
abortion	b2d5fe688e5d01e25b995be698e834af	0	4cc072fd8524107048d2a15378279a0a	pro	00000000000000000000000000000000000000001111111110000000000000000000000000000000000000		Train	Train
abortion	23e47d745dd96647f1e856ddedd40778	0	ac613b6ed02cfb58ff7a848700385d6e	con	000000011111100000000000000000001111100000000011111100000000000000000000000000000000000000011111000000000111110000000000000000000000000000000000		Test	
abortion	1b9d474425b07bbfdec915ea0313aa80	0	2912b5a6123a631d59b33cf91941b2c6	con	0000000000000001111111000000000000000000000000000000000000000000000000000000000000000000000111111111111111110000000000000000000000000000000000000000001111111111111111100000000000		Train	Train
abortion	11003f8e0cbb954fc1d998c966edc0f3	0	9991618db24cab99c746e243b2f32369	pro	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000001111		Dev	Train
abortion	b556e41f6465f6927c95dce60f5c4547	0	cd6f9cecd686afe4f0668328b580d535	pro	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111100000000000000000000000000000000		Train	Train
abortion	859f0ffe6dcb1e7749e1ce5a8aa86acf	0	a6a61c9fe9d8e0d61feb08469af49d11	pro	1111111111111111000000000000000000000000000000000000000111111000000000000000000000000001111111110000000000000000000111111111111111100000000000000000000		Train	Train
abortion	9724d054949efa4f30f65a66a7008e8a	0	68f17556657d1d58f8c95851fe4d8012	con	000000000000000000000000000000000000000000001111111111111100001111111111100000000000000000000011111		Train	Train
abortion	525ddff122b06074cc5a4e735f831539	0	27405823badab0f7b3eddf42091756e3	pro	11111000000000000000000000000000000000000000000000000000000000000000000011111000000000000		Test	
abortion	4a4a230a183558528c55797bff51042b	0	8789ee4900565d7b2254ae7d61c8f18d	con	000000000000000000000000000000000000000000000000000000000000		Dev	Train
abortion	4f7d2aa3423dae9b8edd046faecc1d1e	0	e39a2188fcbfea9853d70166bd387b70	pro	000000000000000000001111111111		Train	Train
abortion	56b4d6d5a93885659393307e219bc050	0	6186efd03de8a79e73e2f2f7d7f00cbd	pro	00000000000000000011111111000000000000000000000000000000011111000000000000000000000000000000000000000000000111111110000000000000000000000000000		Train	Train
abortion	b9c7a50bf7fe7fd7192af7591786ede7	0	5f9e6be8bfaac60a6d934ec2a8820b7d	con	000000000000000000000000000000000000000000000000000000001111111111111111000000000000000000		Train	Train
abortion	6afe05ab54f39d63dc3e3c4e99953213	0	1d5506f1e8c906932c539abf9bd2dafc	pro	00000000000000000000000000000000000000000000000001111111000000000000001111		Test	
abortion	4375674e2dce8d3f2b753173d881fd5f	0	ea7593c186aefbc7264cd808202d97b4	pro	0000000000000001111111		Dev	Train
abortion	48834598762aef24d748f187b3e50a0c	0	9bddd8267ca5ad7107eca3d0a160ff94	pro	00000000000001111111111111111111000000000000000000000111111111111		Test	
abortion	905cf2a39354b3e286bc2f130d817695	0	a9c4fde2481ff95aa1e43fdf194782a6	con	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111100000000000000011111		Dev	Train
abortion	b2316a3c65968f1f83f738994e0d226b	0	0c85b1e6aa864ccca66a142906b18c46	pro	11111111111111110000000000000000000000000000000000000000000		Train	Train
abortion	53449669e7ecc6770098ef5564a89633	0	627161e5c2423e6fe5230d2b0b0a594e	pro	0000000000000000000011111111111111110000000000000000000000000000000000000000000000000000000000000000001111111111		Train	Train
abortion	d3cb35cd1e8e29e67412ea599c0ea676	0	9756c0a005bd89f39b3dc7f661da8dbb	pro	0000000000000000000000000000000000000001111111111111111		Test	
abortion	ea881bf5cc7e96a2e2c9ff4a13bd19f9	0	d56eccab989bcac9d1038147fea22698	pro	000000000000000000000000000000111111111111111111111111111		Train	Train
abortion	ea881bf5cc7e96a2e2c9ff4a13bd19f9	1	84395feddf52292b35a5adb192c7dc36	pro	111111111111000000000000000000000000000000000000000000000000000000000000000		Train	Train
abortion	f512a7a7ebfe9b3ca0b324ad7e608309	0	905a1cf41370d0c449dcd7fe089bff12	pro	000000000000000000000000000000000000000000000000000000000000000000000001111111111111111110000000000000000000000000000000000000000000111111111111111		Train	Train
abortion	4464eb98330792477ce0cb83eade7be8	0	fcd69dfac014fcd9dfc931919f77f403	pro	000000000000000000000000000000000000000000000000000111100001111110000000000000000000000111111111111111111		Train	Train
abortion	70fbeb1bca93fa8047fe0e82a9b4a52d	0	01e172e755f1fe6fff902e8223ae6c20	con	00000000000000000000001111111110000111111000011111111111111100000000000000000000000000000011111100001111111111000000000000000011111		Train	Train
abortion	71aee30d8fd2b5f3d78c1da6a625a0dd	0	b752aa61828386b608ea25393b88f5f0	con	0000000000000000000000000000000000000000001111111111111111111111000011111		Train	Train
abortion	72579cab46268b5500e1c3d3f0296861	0	6ba0b768d939e7805952277072ac52e9	con	00000000000000000000000000000000000000000000000111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		Dev	Train
abortion	aa93f4798499c192339fc82856a1f0e1	0	2527a480e71781476f497862b19624b1	con	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111100000000000000000000000000000000000000000000000000000000000000000000011111		Train	Train
abortion	f2635b8ec935df0b1e801d302c20c48d	0	a2c77e2135c48f24b0278e25fcd8c5ef	con	00000001111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		Train	Train
abortion	ee31cfc1a140460b798a6494b0f0b69d	0	3b5b197a72ae8c9086fd4fa5bcff1c04	pro	00000000000000000000000000000000000000000000000000000000000000000000000111111111111111111000000000000000011111111111111111111111		Train	Train
abortion	c07c6c7854fcd41353d526e0476a2854	0	ffc39d9605a4cabc2e0bdf6469e565a6	con	111110000000000000000000000000000000000000000000000		Train	Train
abortion	8cc5b7ef1316a8d383d17d763633e1d1	0	6568049dfeb216ce38563e888958f359	pro	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111100000000000000000000000001111111111111		Train	Train
abortion	4eaf2d3ae7014db46558c5ce385c4dbd	0	c47ca96a05c26243bbd108e35b9806fe	con	000000000000000000000000000000000000000000000000000111111111111100000000000000000000000000		Train	Train
abortion	b904e94ad3e5235a45d26ac18a58e4a1	0	092c7e0af4d0514ee95a814483729abd	pro	0000000000000111111111111111111111111000000000000		Train	Train
abortion	b904e94ad3e5235a45d26ac18a58e4a1	1	35515b0e9c358b79e321ba9ed5bc3f0f	pro	00000000000000000001111111111111000000000000000000000000000000000000000		Train	Train
abortion	b4ef8d1205a367ff573471bac0eaee8f	0	390a4c4b7dcdb81f095b5e9593c1a4bf	pro	0000000000000000000000000000000000000000000000000000000000000000000000011111111111111111000000000000000000111111111111111111111111111000000000000000000000000000000000000111111		Dev	Train
abortion	4e2d9cb30aa6d941d636f49c7fdfc651	0	3fc3d010ff4614b2c059eb25a0df5320	con	1111111111111111111111000000000000000001111111111111111111000000000000000000000000000000000000000000111111111		Train	Train
abortion	1e498ea48aa5977a546051c4dd866386	0	5f11916988eeed578c4c64b8d3a4ebdd	pro	00000000000000000000000000000000000000000000000000111111111000000000000000000000111111111111111		Train	Train
abortion	96d5ee53621c652f88236af5b1be275c	0	a912d3b323c6e4a85ba453cec555ca96	con	000000000000000000000111111		Train	Train
abortion	96d5ee53621c652f88236af5b1be275c	1	75c6d2daece80e7645a2839180ef12d1	con	00000000000000000000000111110000000111111111111110000111111		Train	Train
abortion	0ea45bb22e550011e3bae2d6d96d5d84	0	b692046fb95454f9a19ec9f24b12b665	con	1111110000000000000000111111111111111110000000000000000000		Train	Train
abortion	0ea45bb22e550011e3bae2d6d96d5d84	1	37cc3bba01a21d81f7d4e859a16ea299	con	1111110000000000000000111111111111111000000000000000000		Train	Train
abortion	be7df8216a38e2ed9dd04de99d5edcff	0	29e63c479c9513af3214dbdc8877a30d	con	000000000000000000000000000000000000000000000000011111111111111000000		Train	Train
abortion	93627fe58120f6692bfd28a7133486e8	0	68563456b9e01365c1ebbca5cb8bccb0	con	001111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111000000000000		Train	Train
abortion	2d301538463173e1aa891ba5efb7fee9	0	b9b8237e35a02679f2ef157af0fd4f63	con	000000000000001111111111111111111000000000011111111111110000000000000000000000000000000111111111000000000000000000000		Train	Train
abortion	41f08590444a418ecf231f0a95c21a00	0	84e60026ee8e56b5123003eb3fb0c780	con	0000000000000001111111100000000000000000000000000000111111111111000000000000111111111111111		Train	Train
abortion	e766cc18d5fdecaab2403d89a94057fb	0	57d69d49a63ccbba542217a87e363ad8	con	00000000000000000000000000000000000000000000000111111000000000000000000000000		Train	Train
abortion	1820731dcbcc5cf8c795fe3f17dcc82f	0	a3189c7fd461173a903f46ab18326584	pro	000000000000000000000000000000000000000000000000000111110000000011111111111111111000000000000001111111111111		Train	Train
abortion	42fb0048bbea52d56b1ddc412a937cbe	0	b77f82f155fea844a033fb17aa228d3e	con	00000000001111111111111100000000000000000000000000111111111111110000000000011111110000000000000000000000000001111		Test	
abortion	de508f80e2edfff064a1b73498bb47a9	0	fe27e8d72a321fc932a5544b6feffc22	pro	1111111111111100000000000000000111111111111111000000000000000000000000000000000000000111111111111111111000000000		Train	Train
abortion	51b3d562bbf2db6fd2da0c14483b22b6	0	0212614f4df4f533cab338b29a0c30ab	pro	1111111111111110000000000000000000000000000000000000000000000		Train	Train
abortion	5af5ada53aa6290d16ceb06ae36feb98	0	8e15998ee175430c43c80945934aaded	con	0000111111000000000000000000011111000011111111110000111100000000000000000000000000000000000000000000000000000111110000000000000000000000000000000000000		Test	
abortion	563b2a6aedf81054c8dc2151354f6d77	0	485579dbb603ebdafeffac867e8609bf	con	000000000000000000011111000000000000000000000000000000000000000000000		Test	
abortion	f713b32b6b212815fd62d4aa64bec4b4	0	a6e437bf85561ceda590563d8a4321e6	pro	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111110000111111111111111		Train	Train
abortion	ae23b25bdbafe15ba43ba1de161c7288	0	9bbae776ffd0267d195ea8ef25b85912	con	1111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		Test	
abortion	db1af476b9fbea6aca056f13d902f2a1	0	1afb6137d6d35d00aa45c06773b6aecb	pro	00000000000000000000000000000000000000000111111111111111		Train	Train
abortion	9798f7060794a66f4a306d1034f258d8	0	14e985fe166fd4c3a88b9dc693b240e3	pro	1111100000111100000000000000000000000000000000000000000111111111111000000000000000000001111100000111100000000000		Train	Train
abortion	14f9f4b70303842564fa2afb9d9be504	0	cd187d0df6b8af46ab160eb386923c15	con	000001111111111111111100000000000000000000000000		Train	Train
abortion	417bbcfa04795570e62037e8b5944297	0	3781dc16f57a2ce6e20b6ec123274b2e	con	00000000000111100000000001111111100000000000000000000000000000000000000000000000000000000000000000001111111111111111100000000000111111110000000000000000000		Train	Train
abortion	2b39f2678ef459fe58dd6cc57871229d	0	4dbc0136199dfd56a3f4221de4ac30ed	con	0000000000000000000000000000000000000000111111111111111110000000000000000000000000000001111111111111111111110011111111111111110000001111111111111111111111		Train	Train
abortion	9f28ca292fbe311432adde47e3bf5f9d	0	078dd1a70d209cd1fcb87a117735e154	con	000011110000000000000000000000000000000000000000000000011111111111111000000000000000000000		Train	Train
